"","state_abrv","date","positive","positiveIncrease","positiveIncrease2","positiveCasesViral","positivePCRincrease","negative","negativePCRincrease","PCRincrease","pct_positive","state","CENSUS2010POP","POPESTIMATE2019","newcase_incidence","PCR_incidence","newcase_7MA","PCR_7MA","positivity_7MA","date_fmt"
"1408","WY",20200809,NA,37,NA,2533,35,53625,0,35,100,"Wyoming",563626,578759,NA,6.04742215671808,5.90343591489146,80.2702728720294,33.0457950973324,2020-08-09
"1409","NE",20200809,28245,141,141,28245,141,271429,1995,2136,6.60112359550562,"Nebraska",1826341,1934408,7.28905174089437,110.421379564187,13.6918965831998,165.654224518745,8.21907011897111,2020-08-09
"1410","KS",20200809,30638,0,0,NA,0,285874,0,0,NA,"Kansas",2853118,2913314,0,0,13.8575617222958,117.710817106763,11.8146750441105,2020-08-09
"1411","NM",20200809,22115,150,150,22115,150,598013,7124,7274,2.06213912565301,"New Mexico",2059179,2096829,7.15365916820113,346.904778596633,8.98635851700694,369.551219620539,2.59678984856743,2020-08-09
"1412","OK",20200809,43566,486,486,43566,486,650485,0,486,100,"Oklahoma",3751351,3956971,12.2821218553282,12.2821218553282,19.2824258757519,203.492592115102,35.1404289624431,2020-08-09
"1413","CO",20200809,50324,431,431,47083,427,535556,6318,6745,6.33061527057079,"Colorado",5029196,5758736,7.48428127283487,117.126397181604,7.58350939710182,112.269180498736,7.03250696737408,2020-08-09
"1414","TX",20200809,486362,4879,4879,486362,4879,3539502,8328,13207,36.9425304762626,"Texas",25145561,28995881,16.8265278782183,45.5478486754722,27.5295259055194,137.007144467963,28.0860921501934,2020-08-09
"1415","AZ",20200809,186923,816,816,185593,789,835640,5226,6015,13.1172069825436,"Arizona",6392017,7278717,11.2107669524725,82.6381902195126,16.5963314688564,207.183294999458,18.351787073315,2020-08-09
"1416","UT",20200809,44127,376,376,44127,376,526486,3882,4258,8.83043682480038,"Utah",2763885,3205958,11.7281636253501,132.815214672182,13.1540801755446,151.044666568575,9.13894483749212,2020-08-09
"1417","KS",20200810,31730,1092,1092,NA,1092,294939,9065,10157,10.7512060647829,"Kansas",2853118,2913314,37.4830862721972,348.640757570245,13.9948624046116,121.75628363928,11.5978674643331,2020-08-10
"1418","NE",20200810,28432,187,187,28432,187,274203,2774,2961,6.31543397500844,"Nebraska",1826341,1934408,9.66704025210814,153.070086558782,12.7761494546578,158.992902664352,7.97116957703322,2020-08-10
"1419","NM",20200810,22315,200,200,22315,200,605312,7299,7499,2.66702226963595,"New Mexico",2059179,2096829,9.53821222426817,357.635267348935,8.85009834237454,363.637528041492,2.6021676991376,2020-08-10
"1420","OK",20200810,43963,397,397,43963,397,650485,0,397,100,"Oklahoma",3751351,3956971,10.0329267007517,10.0329267007517,19.3546311776645,203.564797417014,35.1404289624431,2020-08-10
"1421","CO",20200810,50660,336,336,47367,284,541180,5624,5908,4.80704129993229,"Colorado",5029196,5758736,5.83461370689679,102.591957679602,7.30318994604768,110.450825121545,6.75121459042677,2020-08-10
